id2,name2,id1,name1,percent
367,3M ADPER SINGLE BOND2 REFILL 6 ml,1990,3M ADPER SINGLE BOND 2 refill 6 ml,95%
367,3M ADPER SINGLE BOND2 REFILL 6 ml,1990,3M ADPER SINGLE BOND 2 refill 6 ml,95%
374,3M FILTEK BULK FILL POSTERIOR A2 4G,6129,3M Filtek Bulk Fill Posterior 4g,95%
375,3M FILTEK BULK FILL POSTERIOR A3 4G,6129,3M Filtek Bulk Fill Posterior 4g,95%
406,3M OCHELARI PROTECTIE 2800,6198,3M Ochelari Protectie 2800,95%
449,4409.000 KOMET KIT PT FINISARE TEMPORARA,6152,4409.000 KOMET kit pentru finisare temporara,95%
461,4601.000 KOMET ENDO RESCUE KIT,6156,4601.000 KOMET endo rescue kit,95%
462,4624.000 5 ARGUMENTS FOR KOMET,6157,4624.000 5 Arguments for KOMET,95%
934,CM 862 FOARFECE GINGII CURBAT,132,"Foarfece gingii curbat, 12 cm",95%
1272,ANGELUS ACID FLUORHIDRIC 10%,1940,Acid Fluorhidric 10% Angelus,95%
1306,WOODPECKER ANSA DETARTRAJ G1,6666,Woodpecker Ansa detartraj G20,95%
1306,WOODPECKER ANSA DETARTRAJ G1,6667,Woodpecker Ansa detartraj G21,95%
1306,WOODPECKER ANSA DETARTRAJ G1,6666,Woodpecker Ansa detartraj G20,95%
1306,WOODPECKER ANSA DETARTRAJ G1,6667,Woodpecker Ansa detartraj G21,95%
1307,WOODPECKER ANSA DETARTRAJ G2,6666,Woodpecker Ansa detartraj G20,95%
1307,WOODPECKER ANSA DETARTRAJ G2,6667,Woodpecker Ansa detartraj G21,95%
1307,WOODPECKER ANSA DETARTRAJ G2,6666,Woodpecker Ansa detartraj G20,95%
1307,WOODPECKER ANSA DETARTRAJ G2,6667,Woodpecker Ansa detartraj G21,95%
1391,AUTOCLAV CLASA B 18L,2277,Autoclav clasa B 8L,95%
1411,CERKAMED BATOANE GUTAPERCA 100 BUC SOFT,5245,Cerkamed Batoane guttapercha SOFT 100 buc,95%
1423,BAVETE AKZENTA SMILY 500 buc.,2393,Bavete SMILY 500 buc AKZENTA,95%
1424,BAVETE AKZENTA VERZI 500 buc.,1917,Bavete verzi 50 buc AKZENTA,95%
1424,BAVETE AKZENTA VERZI 500 buc.,1917,Bavete verzi 50 buc AKZENTA,95%
